Title,Artist,kinki,love,success,hard,need,feel,day,new,gone,heart,boy,realli,real,think,would,thing,one,hold,sdanger,bitch,leav,danger,around,talk,run,keep,nigga,live,sweet,world,alway,successt,eye,parti,wait,bodi,made,noth,show,bad,turn,long,home,light,hand,work,nigparti,caheart,walk,Emotion
Used To Love You Sober,kane brown,1,14,0,0,0,2,0,0,2,9,0,0,0,3,1,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
Worth It,fifth harmony,0,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,2,0,0,0,0,0,2
Flex (Ooh Ooh Ooh),rich homie quan,0,3,11,0,0,0,1,1,0,1,7,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,11,0,0,0,1,1,0,1,0,0,7,0,0,1,0,0,0,1,0,0,5,8,3,7
Lose My Mind,brett eldredge,1,5,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
This Could Be Us,rae sremmurd,0,19,28,0,0,0,0,1,0,13,0,1,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,13,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9
"John Cougar, John Deere, John 3:16",keith urban,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
Live From The Gutter,drake,0,3,11,0,1,2,0,0,0,0,0,0,4,0,0,0,1,0,8,7,1,2,0,9,0,1,1,9,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,10
I'm The Plug,drake,0,0,4,0,0,0,1,0,0,1,0,22,0,3,0,2,0,1,1,0,0,8,0,0,0,1,5,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1
Can't Sleep Love,pentatonix,0,11,1,0,1,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,8
Earned It (Fifty Shades Of Grey),the weeknd,0,20,4,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,6
El Perdon (Forgiveness),nicky jam,0,15,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
Bad Blood,taylor swift,0,22,0,0,0,2,0,0,0,5,0,5,0,12,0,1,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,2,18,0,0,0,0,0,0,0,0,0,1
House Party,sam hunt,0,2,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,3,0,2,0,0,0,0,1,0,1
Fly,maddie,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1
Change Locations,drake,1,2,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Love Me,the 1975,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Uma Thurman,fall out boy,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,6,0,0,0,5,0,0,2,0,0,0,0,10,0,0,0,9
Planes,jeremih,3,8,4,0,6,1,0,1,0,0,1,0,1,0,1,0,3,0,5,2,0,3,1,2,1,0,8,0,0,5,0,0,0,11,0,1,0,0,4,0,2,1,0,0,0,0,1,1,0,4
Buy Me A Boat,chris janson,0,0,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ghost Town,adam lambert,1,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
Cecilia And The Satellite,andrew mcmahon in the wilderness,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Plastic Bag,drake,0,9,3,0,0,0,4,0,0,1,0,0,0,0,0,0,7,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Jersey,future,0,9,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,4,0,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,5,3,0,9
Hold Each Other,a great big world,1,6,0,0,0,3,4,0,0,4,0,0,0,1,1,0,0,20,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Kick The Dust Up,luke bryan,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1
Black Magic,little mix,0,16,0,0,1,0,0,0,0,13,8,0,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hit The Quan,iheartmemphis,1,5,4,0,0,1,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0,32,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,10
Infinity,one direction,0,6,2,0,0,5,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
30 For 30 Freestyle,drake,0,3,1,0,3,0,0,0,0,2,0,1,0,1,1,2,2,1,9,0,0,3,3,3,1,1,2,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,1,6,2,0,8
"Honey, I'm Good.",andy grammer,1,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,2
Classic Man,jidenna,0,6,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,9
Crash And Burn,thomas rhett,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"I Don't Like It, I Love It",flo rida,0,18,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,1
Alright,kendrick lamar,1,3,1,1,0,6,3,0,1,3,0,0,0,3,2,0,0,0,0,0,0,4,1,1,0,2,19,1,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
R.I.C.O.,meek mill,0,3,4,0,0,0,2,1,0,0,0,1,0,3,2,0,0,0,6,1,0,5,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,1,0,6
30 for 30 Freestyle,drake,0,3,1,0,3,0,0,0,0,2,0,1,0,1,1,2,2,1,9,0,0,3,3,3,1,1,2,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,1,6,2,0,8
Runnin' (Lose It All),naughty boy,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6
Post To Be,omarion,1,17,11,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,3,0,0,0,6,0,0,2
Loving You Easy,zac brown band,0,9,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6
Hell Of A Night,dustin lynch,2,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2
Real Life,jake owen,0,6,3,1,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
Should've Been Us,tori kelly,2,4,1,0,0,0,0,0,0,25,0,0,3,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
She's Kinda Hot,5 seconds of summer,2,0,0,0,0,1,0,4,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6
Tell Your Friends,the weeknd,2,6,12,0,1,0,0,2,0,7,0,0,0,1,1,1,1,0,7,1,0,1,2,1,0,0,4,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,5
About You,trey songz,0,25,0,0,0,0,0,0,0,1,0,0,0,8,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1
Prisoner,the weeknd,0,3,0,1,0,10,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1
Dark Times,the weeknd,0,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Firestone,kygo,0,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8
The Night Is Still Young,nicki minaj,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Beautiful Now,zedd,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4
Do It Again,pia mia,1,8,1,1,0,0,0,0,0,1,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
One Man Can Change The World,big sean,0,10,15,2,4,2,2,0,0,9,0,0,0,1,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8
Cheyenne,jason derulo,3,15,0,0,0,1,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rotten To The Core,"dove cameron, cameron boyce, booboo stewart",1,2,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,2
Omen,disclosure,0,6,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6
Hit The Quan,@iheartmemphis,1,5,4,0,0,1,0,0,0,1,0,1,0,3,1,1,0,0,0,0,0,32,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,10
Real Life,the weeknd,0,4,0,0,0,1,2,0,0,3,2,1,28,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Shameless,the weeknd,0,11,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Burn Slow,wiz khalifa,2,4,2,0,1,1,2,0,0,1,0,0,1,1,0,1,0,0,2,4,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,8
Hey Mama,david guetta,1,14,2,0,5,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
El Perdon,nicky jam,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Young & Crazy,frankie ballard,2,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Roots,imagine dragons,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Losers,the weeknd,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2
Jet Black Heart,5 seconds of summer,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,11
Love Me Like You Do,ellie goulding,2,11,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
B**** Better Have My Money,rihanna,0,0,24,0,0,0,0,2,0,3,0,0,0,3,0,1,0,1,2,32,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
Nasty Freestyle,t-wayne,2,2,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,2,1,0,5,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,8
Be Real,kid ink,2,0,2,0,1,3,0,0,0,3,0,0,16,0,0,0,2,0,1,4,0,1,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Sangria,blake shelton,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,10
One Hell Of An Amen,brantley gilbert,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2
Kiss You In The Morning,michael ray,23,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9
High By The Beach,lana del rey,0,14,4,1,2,1,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1
Straight Outta Compton,n.w.a,6,1,0,0,0,1,0,0,0,5,4,0,0,2,0,0,3,0,2,4,2,2,0,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,5,1,0,0,0,0,2,0,0,0,0,2
Boyz-N-The Hood,eazy-e,3,1,3,8,0,0,1,0,0,1,7,0,0,1,0,0,1,0,7,3,0,13,0,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,2
I'm To Blame,kip moore,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,6
Talking Body,tove lo,6,11,2,0,0,1,2,0,1,4,0,0,0,0,0,0,7,0,0,0,0,4,0,8,0,2,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,2,0,2
Like A Wrecking Ball,eric church,0,7,0,0,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
Wet Dreamz,j. cole,3,7,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,3,0,0,0,0,1,0,0,5,0,0,1,1,7,0,0,1,2,0,0,1,1,1,1,0,0,2,0,0,2,0,11
Tonight Looks Good On You,jason aldean,3,12,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fun,pitbull,1,14,0,1,0,1,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,9,0,16,0,0,1,0,1,0,0,0,0,0,0,0,0,2
How Many Times,dj khaled,16,4,12,0,3,5,0,1,1,4,1,0,0,2,0,0,0,2,3,3,2,1,0,1,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,3,0,0,2,0,6,9
Fly Away,5 seconds of summer,0,6,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,2,0,0,0,0,6,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
You Know You Like It,dj snake,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6
Commas,future,0,3,45,0,1,1,0,1,0,0,0,1,3,0,0,1,0,0,4,2,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5
If Only,dove cameron,1,4,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
100 Grandkids,mac miller,2,2,6,0,3,0,3,0,0,2,0,0,1,0,2,0,0,1,7,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,14,1,0,0,0,2,0,0,0,0,0,3,0,5
Take Your Time,sam hunt,0,9,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1
Slow Motion,trey songz,1,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Love You Like That,canaan smith,1,26,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
The Matrimony,wale,0,32,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1
Crushin' It,brad paisley,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,2,1,8
This Summer's Gonna Hurt...,maroon 5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Good Thing,sage the gemini,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8
Charged Up,drake,0,2,4,0,2,3,1,0,0,7,0,0,0,2,1,0,2,0,4,0,1,2,0,0,0,1,0,2,1,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,7,2,0,2
Shake It Off,taylor swift,1,7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Elastic Heart,sia,4,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4
Girl Crush,little big town,3,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6
Bright,echosmith,0,6,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Love Me Like You Mean It,kelsea ballerini,6,30,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,6,0,0,5,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2
Yoga,janelle monae,1,20,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
No Sleeep,janet,1,7,1,0,0,3,2,0,0,1,0,1,2,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,4,0,1
Kings Never Die,eminem,2,0,3,1,0,3,1,1,5,2,0,0,0,4,1,0,3,1,5,0,1,1,3,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,2,1,0,12,0,2
Back It Up,prince royce,0,17,0,0,0,3,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,2
Like I Can,sam smith,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11
Fire N Gold,bea miller,0,5,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2
Sippin' On Fire,florida georgia line,0,5,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
Baby Be My Love Song,easton corbin,0,27,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1
Tear In My Heart,twenty one pilots,0,13,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
Blow A Bag,future,0,1,14,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,5
Dance Like We're Making Love,ciara,0,19,0,0,2,2,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,5,0,0,1,0,2,1,0,2,0,0,0,3,0,1
Style,taylor swift,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,1
Somebody,natalie la rose,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,12,0,3,3,0,0,0,0,0,1
Don't It,billy currington,2,14,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I Really Like You,carly rae jepsen,5,3,0,0,4,2,0,0,0,1,0,67,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Little Toy Guns,carrie underwood,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,21,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10
Hood Go Crazy,tech n9ne,3,18,4,2,3,0,0,0,0,1,0,0,0,0,0,1,1,0,11,3,0,10,1,0,0,3,0,0,1,0,0,0,0,2,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,5
Lord Knows,meek mill,0,3,8,0,0,4,0,5,0,2,0,8,2,2,1,0,0,1,5,4,0,2,0,6,2,1,27,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,1,0,0,1,12,5,1,6
Jump Out The Face,meek mill,0,1,16,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,8
G.D.F.R.,flo rida,6,6,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5
Smoke,a thousand horses,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,11,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7
